doi,fixed,notfixed,sum,proportion
10.1186,0,633,633,1.0
10.21203,0,560,560,1.0
10.3410,0,349,349,1.0
10.1371,0,324,324,1.0
10.1590,0,284,284,1.0
10.3847,0,279,279,1.0
10.15581,0,201,201,1.0
10.33448,0,153,153,1.0
10.11646,0,132,132,1.0
10.48072,0,114,114,1.0
10.1145,0,113,113,1.0
10.1158,0,109,109,1.0
10.4274,0,99,99,1.0
10.18203,0,83,83,1.0
10.1161,0,80,80,1.0
10.2147,0,78,78,1.0
10.1017,0,77,77,1.0
10.2337,0,75,75,1.0
10.4324,0,74,74,1.0
10.17116,0,74,74,1.0
10.1140,0,74,74,1.0
10.1149,0,70,70,1.0
10.18287,0,69,69,1.0
10.1159,0,65,65,1.0
10.15407,0,60,60,1.0
10.15829,0,54,54,1.0
10.1515,0,54,54,1.0
10.1038,0,419,419,1.0
10.1364,0,53,53,1.0
10.1039,0,2286,2286,1.0
10.1021,0,2056,2056,1.0
10.1007,3,3276,3279,0.999
10.1016,9,9067,9076,0.999
10.1177,1,947,948,0.999
10.1088,1,596,597,0.998
10.1063,1,562,563,0.998
10.1155,1,451,452,0.998
10.1136,1,347,348,0.997
10.1111,3,997,1000,0.997
10.1002,6,1859,1865,0.997
10.3390,4,1173,1177,0.997
10.1080,3,772,775,0.996
10.5194,1,209,210,0.995
10.1101,2,281,283,0.993
10.1126,1,136,137,0.993
10.1093,6,560,566,0.989
10.1109,22,1589,1611,0.986
10.12688,1,63,64,0.984
10.1103,2,112,114,0.982
10.2174,1,53,54,0.981
10.22541,1,53,54,0.981
10.2196,2,102,104,0.981
10.17650,1,50,51,0.98
10.1055,1,50,51,0.98
10.1029,3,112,115,0.974
10.1142,3,87,90,0.967
10.21125,1486,1,1487,0.001
