doi,licenseURL,licenseQID,start,end,qid,wdLicenseQID
10.1163/27730840-04901004,http://creativecommons.org/licenses/by-nc/4.0,Q34179348,2017-03-27T00:00:00Z,,Q115243086,http://www.wikidata.org/entity/Q34179348
10.1155/2022/4010786,https://creativecommons.org/licenses/by/4.0/,Q20007257,2022-04-29T00:00:00Z,,Q112278096,http://www.wikidata.org/entity/Q20007257
10.1155/2022/9131081,https://creativecommons.org/licenses/by/4.0/,Q20007257,2022-04-30T00:00:00Z,,Q114612730,http://www.wikidata.org/entity/Q20007257
10.1080/21642850.2022.2069571,http://creativecommons.org/licenses/by/4.0/,Q20007257,2022-04-30T00:00:00Z,,Q112277462,http://www.wikidata.org/entity/Q20007257
10.1155/2017/3782182,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q43072524,http://www.wikidata.org/entity/Q20007257
10.1155/2017/9831534,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q33678918,http://www.wikidata.org/entity/Q20007257
10.1155/2017/5313691,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q39335453,http://www.wikidata.org/entity/Q20007257
10.1080/10872981.2017.1320185,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q36359967,http://www.wikidata.org/entity/Q20007257
10.1080/21655979.2017.1325040,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-05-19T00:00:00Z,,Q50893064,http://www.wikidata.org/entity/Q20007257
10.1080/15374416.2017.1310044,http://creativecommons.org/licenses/by-nc-nd/4.0/,Q24082749,2017-05-01T00:00:00Z,,Q41732256,http://www.wikidata.org/entity/Q6937225
10.1177/0300060517700299,http://creativecommons.org/licenses/by-nc/3.0/,Q18810331,2017-05-01T00:00:00Z,,Q39274983,http://www.wikidata.org/entity/Q18810331
10.1080/19490976.2017.1323616,http://creativecommons.org/licenses/by-nc-nd/4.0/,Q24082749,2017-04-28T00:00:00Z,,Q40233875,http://www.wikidata.org/entity/Q24082749
10.1155/2017/6953156,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q39325585,http://www.wikidata.org/entity/Q20007257
10.1155/2017/7915975,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q33660664,http://www.wikidata.org/entity/Q20007257
10.1155/2017/3797802,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q33645497,http://www.wikidata.org/entity/Q20007257
10.1155/2017/3560238,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q33645471,http://www.wikidata.org/entity/Q20007257
10.15560/13.2.2083,http://creativecommons.org/licenses/by-nc-nd/4.0,Q24082749,2017-04-03T00:00:00Z,,Q101302075,http://www.wikidata.org/entity/Q24082749
10.1080/15476286.2017.1318241,http://creativecommons.org/licenses/by-nc-nd/4.0/,Q24082749,2017-05-30T00:00:00Z,,Q47136779,http://www.wikidata.org/entity/Q24082749
10.1080/21645515.2017.1312043,http://creativecommons.org/licenses/by-nc-nd/4.0/,Q24082749,2017-04-25T00:00:00Z,,Q39261360,http://www.wikidata.org/entity/Q24082749
10.1155/2017/6096134,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q33654409,http://www.wikidata.org/entity/Q20007257
10.1155/2017/9361802,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q33655568,http://www.wikidata.org/entity/Q20007257
10.1155/2017/3268650,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q33654457,http://www.wikidata.org/entity/Q20007257
10.7710/2162-3309.2140,https://creativecommons.org/licenses/by/3.0,Q14947546,2017-04-26T00:00:00Z,,Q59941061,http://www.wikidata.org/entity/Q6905323
10.1155/2017/1683678,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q33655562,http://www.wikidata.org/entity/Q20007257
10.1155/2017/7014146,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q33655590,http://www.wikidata.org/entity/Q20007257
10.1155/2017/9670434,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q33654451,http://www.wikidata.org/entity/Q20007257
10.1155/2017/1053125,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q39327275,http://www.wikidata.org/entity/Q20007257
10.1155/2017/1436080,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q38681956,http://www.wikidata.org/entity/Q20007257
10.1080/21655979.2017.1317572,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-05-19T00:00:00Z,,Q48247793,http://www.wikidata.org/entity/Q20007257
10.1155/2017/7156941,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q33631220,http://www.wikidata.org/entity/Q20007257
10.1155/2017/5193572,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q39306127,http://www.wikidata.org/entity/Q20007257
10.1155/2017/6596241,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q33630966,http://www.wikidata.org/entity/Q20007257
10.1155/2017/2726369,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q33630922,http://www.wikidata.org/entity/Q20007257
10.1155/2017/1936315,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q38681986,http://www.wikidata.org/entity/Q20007257
10.1155/2017/8639898,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q52869622,http://www.wikidata.org/entity/Q20007257
10.1155/2017/8493145,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q33711821,http://www.wikidata.org/entity/Q20007257
10.1155/2017/3780697,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q30234522,http://www.wikidata.org/entity/Q20007257
10.1155/2017/5198798,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q33635033,http://www.wikidata.org/entity/Q20007257
10.1080/15592294.2017.1318235,http://creativecommons.org/licenses/by-nc-nd/4.0/,Q24082749,2017-06-13T00:00:00Z,,Q39252070,http://www.wikidata.org/entity/Q24082749
10.1155/2017/5813951,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q39312420,http://www.wikidata.org/entity/Q20007257
10.1080/19336934.2017.1321181,http://creativecommons.org/licenses/by-nc-nd/4.0/,Q24082749,2017-05-04T00:00:00Z,,Q39252111,http://www.wikidata.org/entity/Q24082749
10.1155/2017/7125057,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q39312320,http://www.wikidata.org/entity/Q20007257
10.1155/2017/1042606,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q39312412,http://www.wikidata.org/entity/Q20007257
10.1155/2017/2562759,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q33608021,http://www.wikidata.org/entity/Q20007257
10.1155/2017/6274854,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q33608106,http://www.wikidata.org/entity/Q20007257
10.1155/2017/2079697,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q33604118,http://www.wikidata.org/entity/Q20007257
10.1155/2017/4296075,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q30356935,http://www.wikidata.org/entity/Q20007257
10.1155/2017/4605971,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q38685420,http://www.wikidata.org/entity/Q20007257
10.1155/2017/4615727,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q33604007,http://www.wikidata.org/entity/Q20007257
10.1155/2017/1582182,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q33604756,http://www.wikidata.org/entity/Q20007257
10.7710/2162-3309.2150,https://creativecommons.org/licenses/by/3.0,Q14947546,2017-04-11T00:00:00Z,,Q66678168,http://www.wikidata.org/entity/Q6905323
10.1155/2017/7261980,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q38685413,http://www.wikidata.org/entity/Q20007257
10.1155/2017/7848591,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q33593001,http://www.wikidata.org/entity/Q20007257
10.1155/2017/5468023,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q33593028,http://www.wikidata.org/entity/Q20007257
10.1155/2017/8634249,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q33593007,http://www.wikidata.org/entity/Q20007257
10.1155/2017/2746471,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q33594129,http://www.wikidata.org/entity/Q20007257
10.1080/13880209.2017.1309440,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q38733962,http://www.wikidata.org/entity/Q20007257
10.1155/2017/5986129,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q39292740,http://www.wikidata.org/entity/Q20007257
10.1155/2017/4807853,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q33582101,http://www.wikidata.org/entity/Q20007257
10.1155/2017/6516791,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q33581791,http://www.wikidata.org/entity/Q20007257
10.1155/2017/6891645,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q38687573,http://www.wikidata.org/entity/Q20007257
10.1155/2017/1742862,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q33581862,http://www.wikidata.org/entity/Q20007257
10.1080/21541264.2017.1311829,http://creativecommons.org/licenses/by-nc-nd/4.0/,Q24082749,2017-04-05T00:00:00Z,,Q41544794,http://www.wikidata.org/entity/Q24082749
10.1080/17474086.2017.1315302,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-04-13T00:00:00Z,,Q39218409,http://www.wikidata.org/entity/Q20007257
10.1155/2017/2986460,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q42038294,http://www.wikidata.org/entity/Q20007257
10.1155/2017/2610628,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q33572283,http://www.wikidata.org/entity/Q20007257
10.1155/2017/3971259,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q33572091,http://www.wikidata.org/entity/Q20007257
10.1155/2017/9868694,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q33572234,http://www.wikidata.org/entity/Q20007257
10.1155/2017/1703810,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q33573617,http://www.wikidata.org/entity/Q20007257
10.1155/2017/6073167,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q33561340,http://www.wikidata.org/entity/Q20007257
10.1155/2017/7432310,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q33561318,http://www.wikidata.org/entity/Q20007257
10.1155/2017/1367238,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q33561007,http://www.wikidata.org/entity/Q20007257
10.1155/2017/4504612,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q30234582,http://www.wikidata.org/entity/Q20007257
10.1155/2017/9596342,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q33561533,http://www.wikidata.org/entity/Q20007257
10.1155/2017/9746169,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q33561481,http://www.wikidata.org/entity/Q20007257
10.1167/17.3.26,http://creativecommons.org/licenses/by-nc-nd/4.0/,Q24082749,2017-03-31T00:00:00Z,,Q30844191,http://www.wikidata.org/entity/Q24082749
