
Acyrthosiphon caraganae caraganae
Agrostis pourretii Willd.
Alcelaphine herpesvirus 1
Amphibalanus amphitrite amphitrite
Anolis equestris persparsus
Anthus petrosus littoralis
Antiaris toxicaria africana
Aphis fabae fabae
Aphis gossypii gossypii
Archaeopsylla erinacei erinacei
Balanus crenatus crenatus
Betula pubescens pubescens
Bovine herpesvirus 1
Bovine leukemia virus
Branta hutchinsii minima
Brassica napus rapifera
Canine distemper virus
Canis lupus familiaris
Cannabis sativa ruderalis
Carabus nemoralis nemoralis
Cervus elaphus canadensis
Cervus elaphus corsicanus
Cervus nippon keramae
Cervus nippon mageshimae
Chalcionellus decemstriatus tingitanus
Channel catfish virus
Chelonid herpesvirus 5
Chilostoma cingulatum baldense
Chilostoma cingulatum gobanzi
Citrus × aurantium
Coconut cadang-cadang viroid
Columba livia domestica
Cornigerius maeoticus maeoticus
Coturnix ypsilophora australis
Crotalus durissus terrificus
Cucumber necrosis virus
Cyclura cychlura figginsi
Cyclura cychlura inornata
Cyclura nubila nubila
Cyclura rileyi nuchalis
Dama dama dama
Diabrotica virgifera virgifera
Duck hepatitis virus
Elm mottle virus
Equid herpesvirus 1
Equid herpesvirus 4
Equine arteritis virus
Erythrina × bidwillii
Euphorbia mosaic virus
Eupodotis senegalensis canicollis
Euryte longicauda longicauda
Foot-and-mouth disease virus
Gallid herpesvirus 2
Gallus gallus gallus
Garlic virus A
Genetta genetta genetta
Grapevine virus A
Graptemys pseudogeographica kohnii
Haliotid herpesvirus 1
Haliotis discus hannai
Hasora badra badra
Helianthus × laetiflorus
Heracleum sphondylium sibiricum
Herpestes javanicus auropunctatus
Impatientinum asiaticum asiaticum
Iris susiana L.
Japanese encephalitis virus
Kobus ellipsiprymnus crawshayi
Lacerta viridis meridionalis
Lagostrophus fasciatus fasciatus
Lama glama guanicoe
Leiocephalus carinatus armouri
Leptosia nina niobe
Leptospira interrogans Jhormita
Lepus europaeus occidentalis
Linepithema humile humile
Macrobrachium rosenbergii rosenbergii
Macropus rufogriseus rufogriseus
Maize streak virus
Martes melampus melampus
Mauremys mutica kami
Mauremys mutica mutica
Metapenaeopsis mogiensis consobrina
Moina macrocopa macrocopa
Molossus molossus tropidorhynchus
Momordica balsamina L.
Morus alba indica
Mullus barbatus barbatus
Mus musculus domesticus
Musca domestica domestica
Mustela putorius furo
Nassarius arcularia plicatus
Newcastle disease virus
Nymphaea × daubenyana
Olios antiguensis columbiensis
Oncorhynchus clarkii behnkei
Oncorhynchus clarkii seleniris
Oncorhynchus clarkii stomias
Oncorhynchus mykiss irideus
Onuphis eremita oculata
Orchopeas howardi howardi
Oryctes rhinoceros nudivirus
Otiorhynchus corruptor corruptor
Ovis aries musimon
Panicum mosaic virus
Papaya ringspot virus
Papillifera papillaris papillaris
Pepino mosaic virus
Phalacrocorax carbo sinensis
Phasianus colchicus karpowi
Philonthus spinipes spinipes
Phyla nodiflora minor
Pinctada imbricata fucata
Pinus subsect. Gerardianae
Plectranthus barbatus barbatus
Plum pox virus
Poa × limosa
Poplar mosaic virus
Porcellionides sexfasciatus sexfasciatus
Protaetia orientalis sakaii
Protaetia pryeri pryeri
Purpuradusta gracilis notata
Rhaphiolepis indica umbellata
Rhinichthys osculus robustus
Rhizostoma pulmo ANAS
Sarcocheilichthys variegatus microoculus
Serinus alario alario
Sphenophorus venatus vestitus
Sugarcane mosaic virus
Suid herpesvirus 1
Taura syndrome virus
Testudo graeca graeca
Trachemys scripta elegans
Trachemys scripta scripta
Trachemys scripta troostii
Trachemys stejnegeri stejnegeri
Transmissible gastroenteritis virus
Trichocorixa verticalis verticalis
Truljalia hibinonis hibinonis
Tyto novaehollandiae castanops
Vespa velutina nigrithorax
Viviparus ater ater
Vulpes vulpes ichnusae
West Nile virus
Xerolenta obvia obvia
Yellow fever virus
Yellow head virus
Zosterops japonicus alani
Zosterops japonicus stejnegeri
African cassava mosaic virus
African horse sickness virus
African swine fever virus
Agave cantala var. cantala
Avian infectious bronchitis virus
Banana bunchy top virus
Barley yellow dwarf virus-RMV
Cassava brown streak virus
Citrus leprosis virus C
Classical swine fever virus
Cowpea aphid-borne mosaic virus
Crimean-Congo hemorrhagic fever virus
Duck hepatitis A virus
East Asian Passiflora virus
Eggplant mottled dwarf virus
Epizootic haematopoietic necrosis virus
Indian cassava mosaic virus
Indian citrus ringspot virus
Infectious bursal disease virus
Infectious pancreatic necrosis virus
Infectious salmon anemia virus
Iris yellow spot virus
Lumpy skin disease virus
Maize chlorotic mottle virus
Maize dwarf mosaic virus
Oligonychus ununguis mini pne
Passion fruit woodiness virus
Pepper mild mottle virus
Plantago asiatica mosaic virus
Porcine epidemic diarrhea virus
Potato spindle tuber viroid
Procambarus fallax f. virginalis
Pueraria montana var. lobata
Pulicaria arabica (L.) Cass.
Rabbit hemorrhagic disease virus
Rice yellow mottle virus
Rift Valley fever virus
Salmonella enterica serovar Enteritidis
Squash leaf curl virus
Squash vein yellowing virus
Strawberry vein banding virus
Tomato apical stunt viroid
Tomato curly stunt virus
Venezuelan equine encephalitis virus
Western equine encephalitis virus
Wheat streak mosaic virus
White spot syndrome virus
Xanthomonas campestris pv. musacearum
Yucca gloriosa var. tristis
Bovine viral diarrhea virus 1
Cucumber green mottle mosaic virus
Cucurbit yellow stunting disorder virus
East African cassava mosaic virus
Faba bean necrotic yellows virus
Oxalis triangel spytý na sračky
Spring viraemia of carp virus
Sweet potato feathery mottle virus
Tomato yellow leaf curl virus
