qid,doi,wdLicenseQID
Q113417333,10.17520/BIODS.2022184,2022-01-01T00:00:00Z
Q114076742,10.18129/B9.BIOC.MIRA,
Q114737614,10.1128/MR.51.2.221-271.1987,2020-12-05T00:00:00Z
Q14064731,10.1111/(ISSN)1399-3038,
Q24290619,10.1016/S1074-7613(00)00070-4,2000-11-01T00:00:00Z
Q24291828,10.1016/S0092-8674(01)00524-4,2001-10-19T00:00:00Z
Q24337084,10.1126/SCIENCE.1096284,2004-05-21T00:00:00Z
Q24337415,10.1002/PMIC.201200561,2013-04-23T00:00:00Z
Q24498207,10.1093/NAR/15.3.1281,1987-02-11T00:00:00Z
Q24544001,10.1001/ARCHOPHT.119.10.1417,2001-10-01T00:00:00Z
Q24569526,10.1128/AEM.59.3.695-700.1993,1993-03-01T00:00:00Z
Q24626018,10.1038/NATURE09907,2011-04-28T00:00:00Z
Q24629474,10.1038/NATURE09626,2010-12-16T00:00:00Z
Q24633070,10.1056/NEJMOA1200690,2012-06-28T00:00:00Z
Q24655994,10.1126/SCIENCE.1173635,2009-07-10T00:00:00Z
Q24657666,10.1083/JCB.123.6.1777,1993-12-01T00:00:00Z
Q24672855,10.1172/JCI18921,2003-06-01T00:00:00Z
Q24672855,10.1172/JCI200318921,2003-06-01T00:00:00Z
Q26776977,10.1007/BF00280883,1985-07-01T00:00:00Z
Q27860501,10.3322/CAAC.21262,2015-03-01T00:00:00Z
Q27860737,10.1126/SCIENCE.284.5411.143,1999-04-02T00:00:00Z
Q27860798,10.1006/JMBI.1993.1489,1993-09-05T00:00:00Z
Q27861010,10.1126/SCIENCE.282.5391.1145,1998-11-06T00:00:00Z
Q27861030,10.1385/1-59259-192-2:365,2000-01-01T00:00:00Z
Q27861042,10.1016/0076-6879(83)01005-8,1983-01-01T00:00:00Z
Q27907675,10.14344/IOC.ML.6.4,2016-10-23T00:00:00Z
Q28131755,10.1016/0092-8674(95)90401-8,1995-01-27T00:00:00Z
Q28131795,10.1126/SCIENCE.1076997,2002-11-01T00:00:00Z
Q28188430,10.1016/S0092-8674(01)00328-2,2001-05-04T00:00:00Z
Q28204209,10.1146/ANNUREV.ARPLANT.54.031902.134938,2003-01-01T00:00:00Z
Q28204398,10.1002/1521-3773(20010601)40:11<2004::AID-ANIE2004>3.3.CO;2-X,2001-06-01T00:00:00Z
Q28215545,10.1097/00041433-200202000-00002,2002-02-01T00:00:00Z
Q28235565,10.1126/SCIENCE.4023713,1985-08-23T00:00:00Z
Q28261993,10.1364/OL.19.000780,1994-06-01T00:00:00Z
Q28282386,10.1016/S0140-6736(10)60549-1,2010-06-05T00:00:00Z
Q28283679,10.1056/NEJMOA041031,2004-09-23T00:00:00Z
Q28300531,10.1056/NEJM199103213241201,1991-03-21T00:00:00Z
Q28302831,10.1016/S0092-8674(00)81865-6,1997-01-10T00:00:00Z
Q28513215,10.1126/SCIENCE.1093616,2004-03-05T00:00:00Z
Q28609838,10.1126/SCIENCE.281.5383.1674,1998-09-11T00:00:00Z
Q29547274,10.1038/NATURE04733,2006-04-19T00:00:00Z
Q29547395,10.1038/NRC2559,2009-01-01T00:00:00Z
Q29547398,10.1016/J.MOLCEL.2010.09.023,2010-10-22T00:00:00Z
Q29547447,10.1038/NBT1486,2008-10-01T00:00:00Z
Q29547462,10.1038/NRG2918,2011-01-01T00:00:00Z
Q29547542,10.1006/NIMG.2002.1132,2002-10-01T00:00:00Z
Q29547542,10.1016/S1053-8119(02)91132-8,2002-10-01T00:00:00Z
Q29547566,10.1086/379378,2003-10-20T00:00:00Z
Q29547598,10.1038/NATURE02617,2004-06-09T00:00:00Z
Q29547646,10.1172/JCI0215593,2002-05-01T00:00:00Z
Q29547646,10.1172/JCI15593,2002-05-01T00:00:00Z
Q29547660,10.1038/NRC2618,2009-04-01T00:00:00Z
Q29547792,10.1038/355033A0,1992-01-02T00:00:00Z
Q29547795,10.1038/381571A0,1996-06-13T00:00:00Z
Q29614189,10.1161/CIRCULATIONAHA.107.699579,2008-02-12T00:00:00Z
Q29614205,10.1152/PHYSREV.1979.59.3.527,1979-07-01T00:00:00Z
Q29614339,10.1038/243290A0,1973-06-01T00:00:00Z
Q29614442,10.1038/NG1060,2003-01-01T00:00:00Z
Q29614534,10.1021/BI00789A030,1971-06-22T00:00:00Z
Q29614551,10.1038/414782A,2001-12-13T00:00:00Z
Q29614745,10.1038/NRC798,2002-05-01T00:00:00Z
Q29614805,10.1038/415429A,2002-01-24T00:00:00Z
Q29614927,10.1136/ARD.16.4.494,1957-12-01T00:00:00Z
Q29614967,10.1086/301844,1998-05-01T00:00:00Z
Q29615122,10.2337/DIACARE.20.4.537,1997-04-01T00:00:00Z
Q29615258,10.1016/0378-1119(95)00584-1,1995-12-01T00:00:00Z
Q29615314,10.1107/S0907444913000061,2013-07-01T00:00:00Z
Q29615354,10.1128/JB.172.8.4238-4246.1990,1990-08-01T00:00:00Z
Q29615396,10.1146/ANNUREV.NEURO.28.061604.135709,2005-01-01T00:00:00Z
Q29615410,10.1038/NRM3311,2012-03-22T00:00:00Z
Q29615499,10.1038/NRM3270,2012-01-18T00:00:00Z
Q29616114,10.1126/SCIENCE.8178174,1994-05-01T00:00:00Z
Q29616532,10.1038/349431A0,1991-01-31T00:00:00Z
Q29616604,10.1016/S0091-679X(08)61797-5,1976-01-01T00:00:00Z
Q29616811,10.1126/SCIENCE.1153124,2008-02-29T00:00:00Z
Q29617312,10.2307/2532296,1992-06-01T00:00:00Z
Q29617504,10.1038/NRC1716,2005-10-01T00:00:00Z
Q29617810,10.1038/NBT1267,2006-12-01T00:00:00Z
Q29618027,10.1016/J.MOLCEL.2011.08.018,2011-09-16T00:00:00Z
Q29618101,10.1038/NRM2249,2007-10-01T00:00:00Z
Q29618702,10.1038/43185,1997-06-26T00:00:00Z
Q29619140,10.1073/PNAS.0704320104,2007-06-26T00:00:00Z
Q29619308,10.1056/NEJM199704033361401,1997-04-03T00:00:00Z
Q29619386,10.1038/NRN2822,2010-03-31T00:00:00Z
Q29619468,10.1126/SCIENCE.1055465,2001-02-23T00:00:00Z
Q29619520,10.1038/NRC1609,2005-05-01T00:00:00Z
Q29619700,10.1146/ANNUREV.IY.13.040195.001343,1995-01-01T00:00:00Z
Q29619918,10.1038/NATURE10673,2011-12-21T00:00:00Z
Q29620068,10.1056/NEJMOA020177,2003-01-01T00:00:00Z
Q29620396,10.1016/S1535-6108(03)00309-X,2003-12-01T00:00:00Z
Q34106793,10.1056/NEJMOA010713,2001-12-01T00:00:00Z
Q34313864,10.1093/JNCI/87.11.796,1995-06-01T00:00:00Z
Q34379012,10.1093/BIOINFORMATICS/BTT593,2013-10-18T00:00:00Z
Q36932627,10.1016/J.NEUROIMAGE.2011.07.044,2011-07-23T00:00:00Z
Q37726811,10.1073/PNAS.87.7.2466,1990-04-01T00:00:00Z
Q39525082,10.1001/JAMA.282.23.2215,1999-12-01T00:00:00Z
Q40618533,10.1126/SCIENCE.7901908,1993-10-01T00:00:00Z
Q47682341,10.1021/JA00214A001,1988-03-01T00:00:00Z
Q57497206,10.1051/0004-6361/201832843,2018-08-01T00:00:00Z
Q57569060,10.1063/1.448118,2020-12-23T00:00:00Z
Q57633629,10.1051/0004-6361/201525823,2016-09-20T00:00:00Z
Q60018491,10.1088/0067-0049/218/1/1,2015-05-01T00:00:00Z
Q61657954,10.1051/0004-6361/201528048,2016-11-01T00:00:00Z
