qid,doi,wdLicenseQID
Q58144437,10.1007/S40475-018-0156-4,2018-06-16T00:00:00Z
Q59358594,10.1007/S11262-018-1579-7,2018-06-16T00:00:00Z
Q89117721,10.1177/1524839918781527,2018-06-15T00:00:00Z
Q113818255,10.1093/NQ/S9-II.50.477B,1898-12-10T00:00:00Z
Q114632026,10.1093/NQ/S6-VII.158.8E,1883-01-06T00:00:00Z
Q89121943,10.1007/S00134-018-5233-6,2018-06-16T00:00:00Z
Q114896646,10.1093/NQ/S5-II.50.478F,1874-12-12T00:00:00Z
Q89126738,10.1136/BCR-2018-225347,2018-06-15T00:00:00Z
Q112036369,10.1093/NQ/S3-III.56.80D,2018-06-16T00:00:00Z
Q114009688,10.1093/NQ/S7-IV.87.163,1887-08-27T00:00:00Z
Q69138269,10.1051/0004-6361/201832914,2018-01-01T00:00:00Z
Q91789153,10.1093/JCAG/GWY034,2018-07-31T00:00:00Z
Q113390065,10.1093/NQ/S12-V.95.218E,2018-06-16T00:00:00Z
Q114632186,10.1093/NQ/S3-II.37.212-D,1862-09-13T00:00:00Z
Q89122166,10.1111/IJD.14090,2018-06-15T00:00:00Z
Q114632207,10.1093/NQ/S2-III.78.506A,1857-06-27T00:00:00Z
Q89122524,10.1111/JOIM.12800,2018-07-02T00:00:00Z
Q114632043,10.1093/NQ/S6-IV.105.547C,1881-12-31T00:00:00Z
Q89122147,10.1002/PD.5298,2018-07-03T00:00:00Z
Q56359357,10.1136/BCR-2018-225031,2018-06-15T00:00:00Z
Q113389981,10.1093/NQ/S6-VII.158.17A,2018-06-16T00:00:00Z
Q114896657,10.1093/NQ/S2-III.56.77B,1857-01-24T00:00:00Z
Q55154216,10.14336/AD.2017.0715,2018-06-01T00:00:00Z
Q60170209,10.1093/ADVANCES/NMY048,2018-11-01T00:00:00Z
Q114632228,10.1093/NQ/S13-I.18.354B,1923-11-03T00:00:00Z
Q89127480,10.1007/S10461-018-2195-1,2018-11-01T00:00:00Z
Q114937911,10.1093/NQ/S11-III.66.255D,1911-04-01T00:00:00Z
Q55262326,10.1136/BMJOPEN-2017-021372,2018-06-15T00:00:00Z
Q114632199,10.1093/NQ/S2-V.105.3,1858-01-02T00:00:00Z
Q55305201,10.1136/BCR-2017-223722,2018-06-15T00:00:00Z
Q59358635,10.1111/IRV.12583,2019-06-05T00:00:00Z
Q89126730,10.1136/BCR-2018-224833,2018-06-15T00:00:00Z
Q89127630,10.1021/ACS.JPCLETT.8B01467,2018-06-22T00:00:00Z
Q91699649,10.2196/10424,2018-09-24T00:00:00Z
Q55010851,10.14336/AD.2017.0704,2018-06-01T00:00:00Z
Q55380045,10.3348/KJR.2018.19.4.673,2018-06-14T00:00:00Z
Q55400739,10.3348/KJR.2018.19.4.752,2018-06-14T00:00:00Z
Q57072184,10.1007/S00122-018-3113-7,2018-06-16T00:00:00Z
Q57565563,10.1093/AJCN/NQY155,2018-09-11T00:00:00Z
Q59309656,10.1007/S10741-018-9717-9,2018-09-01T00:00:00Z
Q59355033,10.1093/INFDIS/JIY371,2018-09-22T00:00:00Z
Q59546269,10.1002/ACR.23620,2019-04-10T00:00:00Z
Q63973308,10.1039/C8EE00937F,2018-01-01T00:00:00Z
Q89122120,10.1111/IJD.14075,2018-06-16T00:00:00Z
