qid,doi,wdLicenseQID
Q113203384,10.34229/2707-451X.21.2.9,
Q114782087,10.34133/2022/9850486,
Q114014296,10.5604/01.3001.0014.7849,
Q114025046,10.34229/2707-451X.21.4.7,
Q114014284,10.5604/01.3001.0015.5984,
Q115364300,10.12911/22998993/155081,
Q115364314,10.12911/22998993/154980,
Q115364321,10.12911/22998993/154847,
Q115364323,10.12911/22998993/154846,
Q115364325,10.12911/22998993/154845,
Q115364332,10.12911/22998993/154775,
Q115364352,10.12911/22998993/154062,
Q115364389,10.12911/22998993/153457,
Q114110040,10.35691/JBM.1202.0190,
Q57392016,10.15581/004.27.115-132,
Q110614931,10.35691/JBM.1202.0186,
Q113817218,10.1097/JP9.0000000000000093,
Q114820021,10.30944/20117582.2200,
Q114601522,10.1177/01445987221115814,
Q111231674,10.15421/021932,
Q113703711,10.15421/021902,
Q114014319,10.5604/01.3001.0014.1996,
Q114041188,10.24875/RECICE.M22000289,
Q114003764,10.24875/ACM.21000135,
Q115495145,10.2298/ABS220630028W,
Q114746447,10.2298/SARH210609080A,
Q114348247,10.4103/0972-9062.337508,
Q62588799,10.14254/2071-8330.2016/9-3/21,
Q35052424,10.4103/0019-5154.147819,
Q35086605,10.4103/0301-4738.81996,
Q35125745,10.4103/0970-1591.82844,
Q36766209,10.4103/0301-4738.178150,
Q37032609,10.1590/S1413-78522012000200003,
Q42269677,10.1159/000355233,
Q42320130,10.4103/0366-6999.199837,
Q43294599,10.1590/S0034-89102009000800010,
Q43894979,10.1590/S0034-89102009000200014,
Q49482453,10.4103/UA.UA_98_17,
Q51558158,10.1590/S1516-31802000000100002,
Q57725537,10.2298/FID1404146D,
Q63389455,10.1590/S0102-33061998000400007,
Q69249112,10.1590/S0034-89101986000600003,
Q71851069,10.1590/S0034-89101980000100009,
Q84091196,10.1590/S0365-05962012000200015,
Q89293728,10.1183/16000617.0040-2018,
Q90343579,10.4103/JISPPD.JISPPD_178_19,
Q90343615,10.4103/JISPPD.JISPPD_71_18,
Q30483841,10.4103/0970-1591.57928,
Q34453371,10.4103/0970-1591.142067,
Q36422608,10.1159/000345277,
Q36486729,10.1159/000342448,
Q37035608,10.4103/0970-0218.183590,
Q37062337,10.4103/0301-4738.111180,
Q37091197,10.4103/0022-3859.159421,http://www.wikidata.org/entity/Q15643954
Q37184054,10.1590/S1518-8787.2016050006352,
Q37695801,10.4103/0974-777X.127950,
Q37707756,10.4103/0970-1591.126894,
Q38433321,10.5423/PPJ.OA.01.2014.0002,
Q42787056,10.4103/0301-4738.82011,
Q44364421,10.1590/S0066-782X2003000200002,
Q53645433,10.1590/S0004-282X2003000300018,
Q60052274,10.1159/000494715,
Q60926885,10.1159/000494713,
Q89755556,10.1097/CM9.0000000000000757,
Q89918644,10.1097/CM9.0000000000000717,
Q90156287,10.1097/CM9.0000000000000733,
Q90156307,10.1097/CM9.0000000000000790,
Q90426051,10.1097/CM9.0000000000000730,
Q91708271,10.1097/CM9.0000000000000743,
Q94598913,10.1097/CM9.0000000000000765,
Q97677374,10.1097/CM9.0000000000000954,
Q98245150,10.1097/CM9.0000000000000940,
Q98562589,10.1097/CM9.0000000000000983,
Q110710819,10.1590/S0044-59672008000400022,
Q38225539,10.1159/000363372,
Q41987179,10.1159/000446469,
Q42320139,10.4103/0974-8237.199870,
Q43493705,10.4103/0377-4929.138819,
Q51306322,10.4103/0377-4929.101738,
Q53379169,10.4103/0377-4929.162904,
Q53619691,10.4103/0377-4929.151193,
Q55463318,10.4103/0377-4929.77406,
Q84968083,10.4103/0377-4929.85150,
Q90148477,10.1097/CM9.0000000000000263,
Q91219233,10.1097/CM9.0000000000000014,
Q91303267,10.1097/CM9.0000000000000067,
Q91303281,10.1097/CM9.0000000000000089,
Q91303307,10.1097/CM9.0000000000000120,
Q91952014,10.1097/CM9.0000000000000588,
Q92099684,10.1097/CM9.0000000000000166,
Q92202014,10.1097/CM9.0000000000000575,
Q92435038,10.1097/CM9.0000000000000632,
Q92588660,10.1097/CM9.0000000000000622,
Q92791419,10.1097/CM9.0000000000000257,
Q92791448,10.1097/CM9.0000000000000163,
Q33782011,10.1159/000462958,
Q33991431,10.4103/0971-4065.133056,
Q39460157,10.4103/0377-4929.168874,
Q41845584,10.1159/000476031,
Q42258007,10.4103/0970-9185.117040,
Q42493025,10.4103/0377-4929.182017,
Q47701440,10.4103/0377-4929.191795,
Q48222473,10.1590/S0004-282X2012001200016,
Q61804292,10.1097/CM9.0000000000000050,
Q64132891,10.1097/CM9.0000000000000004,
Q68522991,10.1590/S0034-89101987000100003,
Q81006194,10.1590/S0004-28032004000200005,
Q90369246,10.1097/CM9.0000000000000460,
Q90841829,10.4103/UA.UA_137_17,
Q90939616,10.1097/CM9.0000000000000487,
Q90980085,10.1097/CM9.0000000000000015,
Q90980140,10.1097/CM9.0000000000000029,
Q92481488,10.1159/000504016,
Q96604808,10.4103/UA.UA_68_19,
Q36330455,10.4103/0971-4065.150721,
Q36354783,10.4103/0970-0218.99935,
Q36675802,10.4103/0019-5049.176283,
