qid,repository
Q28974901,https://github.com/Becksteinlab/GromacsWrapper
Q107384519,https://github.com/Belval/pdf2image
Q16335221,https://github.com/BenLangmead/bowtie
Q107381694,https://github.com/CMA-ES/pycma
Q112974082,https://github.com/COMBINE-lab/salmon
Q107384655,https://github.com/CamDavidsonPilon/lifelines
Q5058134,https://github.com/CellProfiler/CellProfiler
Q107383220,https://github.com/CleanCut/green
Q107381690,https://github.com/CyberAgent/cmaes
Q112064761,https://github.com/DReichLab/AdmixTools
Q107384086,https://github.com/DenisCarriere/geocoder
Q107381771,https://github.com/DiffSK/configobj
Q107386064,https://github.com/EducationalTestingService/factor_analyzer
Q107387121,https://github.com/EpistasisLab/scikit-rebate
Q107387122,https://github.com/EpistasisLab/tpot
Q107384221,https://github.com/GeospatialPython/pyshp
Q107385693,https://github.com/GijsTimmers/cursor
Q107384093,https://github.com/GoogleCloudPlatform/gcloud-python
Q289446,https://github.com/GrahamDumpleton/mod_wsgi
Q28974961,https://github.com/JuliaLang/julia
Q107380705,https://github.com/Julian/jsonschema
Q113818500,https://github.com/JustAnotherArchivist/snscrape
Q107384331,https://github.com/Kaggle/kaggle-api
Q107385371,https://github.com/KimiNewt/pyshark
Q107383697,https://github.com/Kozea/cairocffi
Q107382789,https://github.com/Lasagne/Lasagne
Q107383142,https://github.com/Legrandin/pycryptodome
Q107384490,https://github.com/LonamiWebs/Telethon
Q107382158,https://github.com/Mimino666/langdetect
Q107385882,https://github.com/NaturalHistoryMuseum/pyzbar
Q5583871,https://github.com/OpenRefine/OpenRefine
Q107380454,https://github.com/PyCQA/pyflakes
Q772889,https://github.com/PyCQA/pylint
Q107384148,https://github.com/PyFilesystem/pyfilesystem2
Q107380921,https://github.com/PyMySQL/PyMySQL
Q107381464,https://github.com/PyWavelets/pywt
Q18285301,https://github.com/Pylons/pylons
Q70490607,https://github.com/Qiskit/qiskit
Q7276224,https://github.com/RDFLib/rdflib
Q107383161,https://github.com/Rapptz/discord.py
Q107384240,https://github.com/ResidentMario/missingno
Q107386177,https://github.com/RussellLuo/resource
Q539042,https://github.com/SCons/scons
Q107386151,https://github.com/SauceCat/PDPbox
Q107381466,https://github.com/SimpleITK/SimpleITK
Q107381038,https://github.com/ThomasWaldmann/argparse
Q28975466,https://github.com/Toblerity/Shapely
Q107384124,https://github.com/Toblerity/rtree
Q107384054,https://github.com/Turbo87/utm
Q107385787,https://github.com/WhyNotHugo/python-barcode
Q107385288,https://github.com/Yelp/fido
Q42293887,https://github.com/aboSamoor/polyglot
Q107385706,https://github.com/aboSamoor/pycld2
Q107382197,https://github.com/agronholm/apscheduler
Q28941607,https://github.com/aio-libs/aiohttp
Q107382099,https://github.com/albumentations-team/albumentations
Q107380733,https://github.com/aleaxit/gmpy
Q107382098,https://github.com/aleju/imgaug
Q107383883,https://github.com/alkaline-ml/pmdarima
Q107382089,https://github.com/amoffat/sh
Q107382958,https://github.com/amueller/word_cloud
Q107384642,https://github.com/andrewp-as-is/public.py
Q107386507,https://github.com/ansible-community/ara
Q107384373,https://github.com/ansible-community/molecule
Q22348165,https://github.com/apache/incubator-mxnet
Q7573619,https://github.com/apache/spark
Q107381672,https://github.com/apple/coremltools
Q100153863,https://github.com/arrow-py/arrow
Q107381472,https://github.com/asdf-format/asdf
Q107386897,https://github.com/ask/mode
Q107381022,https://github.com/astanin/python-tabulate
Q107382483,https://github.com/astropy/regions
Q107384094,https://github.com/asweigart/pyautogui
Q50560420,https://github.com/aws/aws-cli
Q107383322,https://github.com/barseghyanartur/tld
Q107387098,https://github.com/bashtage/arch
Q113046676,https://github.com/bcbio/bcbio-nextgen
Q107386838,https://github.com/beaglecli/beagle
Q107385227,https://github.com/bear/python-twitter
Q5530842,https://github.com/beiko-lab/gengis
Q107386849,https://github.com/benley/python-glog
Q5618801,https://github.com/benoitc/gunicorn
Q107384606,https://github.com/biopython/biopython
Q107384267,https://github.com/blue-yonder/tsfresh
Q107385491,https://github.com/bmabey/pyLDAvis
Q100153936,https://github.com/bokeh/bokeh
Q107385968,https://github.com/borgstrom/offspring
Q107383111,https://github.com/boto/boto
Q107380724,https://github.com/boto/boto3
Q107380725,https://github.com/boto/botocore
Q107385749,https://github.com/brettcannon/importlib
Q4962915,https://github.com/brian-team/brian2
Q107382377,https://github.com/carpedm20/emoji
Q107382139,https://github.com/catalyst-team/catalyst
Q107385241,https://github.com/cf-natali/ntplib
Q107381463,https://github.com/cgohlke/tifffile
Q107382769,https://github.com/chaimleib/intervaltree
Q2635182,https://github.com/cherrypy/cherrypy
Q107504390,https://github.com/chfc-cmi/misas
Q107383192,https://github.com/christophercrouzet/gorilla
