mapped_to,repository
3,https://github.com/abranhe/3
3DCORE,https://github.com/ajefweiss/py3DCORE
3DeeCellTracker,https://github.com/WenChentao/3DeeCellTracker
4chan,https://github.com/AnthonyBloomer/chan
7,https://github.com/abranhe/7
aapt,https://github.com/HuMoran/aapt
ab,https://github.com/dancrew32/ab
abagen,https://github.com/rmarkello/abagen
ABBYY,https://github.com/samueltc/ABBYY
abd,https://github.com/w13b3/abstract_base_decorator
abi,http://github.com/oakfang/abi
abies,https://github.com/AbiesDSP/Abies
abm,https://github.com/delapuente/abm
about,https://github.com/boisgera/about
abp,https://github.com/peteshadbolt/abp
ABR,https://github.com/bburan/abr
abstract,https://github.com/idin/abstract
abt,https://github.com/kamikat/abt
aca,https://github.com/tpetmanson/aca
acc,http://github.com/autti/acc
ACCC,https://github.com/Aluriak/ACCC
accept,http://github.com/rhyselsmore/accept
AccessControl,https://github.com/zopefoundation/AccessControl
acd,https://github.com/csinva/hierarchical-dnn-interpretations
ace,https://github.com/partofthething/ace
ach,https://github.com/travishathaway/python-ach
aclust,https://github.com/brentp/aclust
acpype,https://github.com/alanwilter/acpype
acquire,https://github.com/chryswoods/acquire
Acquisition,https://github.com/zopefoundation/Acquisition
acs,http://github.com/rgardler/acs-scripts
ACSNI,https://github.com/caanene1/ACSNI
actin,http://github.com/gomesdasilva/ACTIN
action,https://github.com/xhjkl/action.py
ACTIONet,https://github.com/shmohammadi86/ACTIONet
activation,https://github.com/deybvagm/activation
active,https://github.com/mattian7741/zulu
ACU,https://github.com/landmaj/aws_credentials_watcher
Ada,http://github.com/jimzhan/ada
adam,https://github.com/adam-language/adam
adapt,https://github.com/adapt-python/adapt
adaptation,https://github.com/adapt-python/adapt
adapter,https://github.com/idin/adapter
AdaptivePELE,https://github.com/AdaptivePELE/AdaptivePELE
adb,https://github.com/google/python-adb
adcc,https://github.com/adc-connect/adcc
ADCT,https://github.com/JJ8428/ADCT
ade,https://github.com/edsuom/ade
Adept,https://github.com/fictivekin/adept-python
adg,https://github.com/adgproject/adg
adk,https://github.com/qsrc/ADK
ADLES,https://github.com/GhostofGoes/ADLES
Admire,https://github.com/Avlyssna/Admire
admix,https://github.com/stevenliuyi/admix
adr,https://github.com/mozilla/adr
ADTM,https://github.com/alphaomega-technology/ADTM
Aduro,https://github.com/msuozzo/Aduro
advbox,https://github.com/baidu/advbox
Advento,https://github.com/halevalente/Advento
ae,http://github.com/jove1/ae
aea,https://github.com/fetchai/agents-aea
