Q108768118|P4510|Q114077438|P1932|"SMAP"|S248|Q114078827
Q91359233|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q52574126|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q103827768|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q42003187|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q49827418|P4510|Q107381604|P1932|"META"|S248|Q114078827
Q112291933|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q112719699|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q91965039|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q95329187|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q101236437|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q104456407|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q35357441|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q30570534|P4510|Q114076489|P1932|"GLAD"|S248|Q114078827
Q36592656|P4510|Q107381604|P1932|"META"|S248|Q114078827
Q92222198|P4510|Q114076489|P1932|"GLAD"|S248|Q114078827
Q42365965|P4510|Q114076489|P1932|"GLAD"|S248|Q114078827
Q47111351|P4510|Q114076489|P1932|"GLAD"|S248|Q114078827
Q43820777|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q90865081|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q97869957|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q112295678|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q91086988|P4510|Q114077524|P1932|"TCC"|S248|Q114078827
Q112727176|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q91667638|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q37324724|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q43866161|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q42014902|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q34994414|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q33859190|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q64282137|P4510|Q114075980|P1932|"BEAT"|S248|Q114078827
Q37736710|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q61447876|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q99569165|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q104492426|P4510|Q114075980|P1932|"BEAT"|S248|Q114078827
Q35910630|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q59326780|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q92989315|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q92879447|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q91908378|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q104132630|P4510|Q107381604|P1932|"meta"|S248|Q114078827
