qid,title
Q40039568,"Seroprevalence and risk factors for <i>Coxiella burnetii</i>, the causative agent of Q fever in the dromedary camel (<i>Camelus dromedarius</i>) population in Algeria"
Q41900392,Le Manul <i>Otocolobus manul</i> (Pallas 1776): Son caryotype et sa position dans la classification des Félidés
Q43378062,"<i>Olpium</i> L. Koch, 1873 (Arachnida, Pseudoscorpionida, Olpiidae): proposed designation of type species and related problems. Z. N. (S.) 2484"
Q47011982,"First records of <i>Hypsugo joffrei</i> (Thomas, 1915) and the revision of <i>Philetor brachypterus</i> (Temminck, 1840) specimens (Chiroptera: Vespertilionidae) from the Indian Subcontinent"
Q48168545,Laser-induced changes of nonlinear electronic transport properties in La<sub>0.75</sub>Ba<sub>0.25</sub>MnO<sub>3</sub> and (La<sub>0.6</sub>Pr<sub>0.4</sub>)<sub>0.67</sub>Ca<sub>0.33</sub>MnO<sub>3</sub>.
Q48168545,Laser-induced changes of nonlinear electronic transport properties in La<sub>0.75</sub>Ba<sub>0.25</sub>MnO<sub>3</sub> and (La<sub>0.6</sub>Pr<sub>0.4</sub>)<sub>0.67</sub>Ca<sub>0.33</sub>MnO<sub>3</sub>.
Q49716443,Room-temperature superparamagnetism due to giant magnetic anisotropy in Mo<sub>S</sub> defected single-layer MoS<sub>2</sub>.
Q51054651,"Die Entdeckung neuer Arten ungeflügelter terrikoler Insekten in alpinen und hochalpinen Biotopen der Alpen (Coleoptera, Staphylinidae, Grossgattung <i>Leptusa</i> Kraatz)"
Q51048434,"A new species of <i>Oligota</i> (Coleoptera, Staphylinidae) from Marocco"
Q51048434,"A new species of <i>Oligota</i> (Coleoptera, Staphylinidae) from Marocco"
Q52382497,Modelling end-pumped passively Q-switched Nd-doped crystal lasers: manifestation by a Nd:YVO<sub>4</sub>/Cr<sup>4+</sup>:YAG system with a concave-convex resonator.
Q52627478,"HIV-1 genetic diversity in recently diagnosed infections in Moscow: predominance of A<sub>FSU</sub>, frequent branching in clusters, and circulation of the Iberian subtype G variant."
Q53462420,Two novel and critically endangered subspecies of <I>Nasa humboldtiana</I> (<I>Loasaceae</I>) from Peru
Q53826561,<title>Laser action comparison of Nd<formula><sup><roman>3+</roman></sup></formula> in YAG and KGW crystals pumped longitudinally by diode lasers</title>
Q54086931,The Diet of Galapagos sperm whales <i>Physeter macrocephalus</i> as indicated by fecal sample analysis
Q54430277,Studies on the Constituents in the Roots of <I>Cassia obtusifolia</I> L. and the Antimicrobial Activities of Constituents of the Roots and the Seeds
Q54430277,Studies on the Constituents in the Roots of <I>Cassia obtusifolia</I> L. and the Antimicrobial Activities of Constituents of the Roots and the Seeds
Q54551078,<I>Lorenzia</I> (Araceae - Spathicarpeae): A New Genus from Northern Brazil Supported by <I>matK</I> Sequence Data
Q54552579,On the Taxonomy and Phylogenetic Position of <I>Thomandersia</I>
Q54538643,Phylogenetic Relationships of <I>Notaticus</I> (Coleoptera: Dytiscidae) Based on Larval Morphology
Q54636901,A New Species and a Molecular Phylogenetic Analysis of the Antarctic Fish Genus <i>Pogonophryne</i> (Notothenioidei: Artedidraconidae)
Q54577662,"The goblin spider genus <i>Ischnothyreus</i> (Araneae, Oonopidae) in the New World"
Q54656076,Revision of the Palaearctic rove beetles of the genus <i>Megarthrus</i> Curtis (Coleoptera: Staphylinidae: Proteininae)
Q55757900,"La defernite, Ca<sub>6</sub>(CO<sub>3</sub>)<sub>2</sub>(OH,Cl)<sub>8</sub>·nH<sub>2</sub>O, un nouveau carbonate de calcium chloro-hydroxylé"
Q55883031,What is for dinner? First report of human blood in the diet of the hairy-legged vampire bat <i>Diphylla ecaudata</i>
