qid,title
Q39838183,Interaction of abscisic acid &amp; indole acetic acid on transcription
Q39864361,Consultants &amp; long-range planning--planning groups fight for members; AHA joins fray
Q39863760,Effect of apholate (NSC 26812; ENT 26316) on the nucleic acids &amp; protein content in the spleen of male albino rats
Q39927725,Effect of Triiodothyronine or Iodide on the Thyroidal Secretion &lt;I&gt;In Vitro&lt;/I&gt;: Inhibition of TSH-and Dibutyryl-Cyclic-AMP Induced Endocytosis
Q39904282,"The Sensitivity of &lt;i&gt;Staphylococcus aureus&lt;/i&gt; 79 and 80, and &lt;i&gt;Escherichia coli&lt;/i&gt; 95 to Sodium Salicylate, Nicotinaldehyde Singly, and in Combination with Nicotinic Acid or Nicotinamide"
Q40114066,Development of Systemic Lupus Erythematosus Following Interferon-&alpha; Therapy for Hepatitis C Infection.
Q40846188,"Polyphenolic Composition and Evaluation of Antioxidant Activity, Osmotic Fragility and Cytotoxic Effects of Raphiodon echinus (Nees &amp; Mart.) Schauer"
Q42019463,"The ionotropic &gamma;-aminobutyric acid receptor gene family of the silkworm, Bombyx mori."
Q42293894,A new species of Neopronematus and a re-description of Pronematus rykei Meyer &amp; Rodrigues (Acari: Iolinidae) from Iran.
Q42293980,"First finding of the shrimp genus Harperalpheus Felder &amp; Anker, 2007 in the eastern Pacific, with description of a new species from Bahía Málaga, Colombia (Malacostraca: Decapoda: Alpheidae)."
Q42295444,"New records of deep-sea shrimps of family Solenoceridae Wood-Mason &amp; Alcock, 1891 (Crustacea: Decapoda: Dendrobranchiata) from Southwestern Atlantic."
Q42293969,"Two new species of the genus Leeonychiurus Sun &amp; Arbea, 2014 (Collembola: Onychiuridae) from Korea."
Q42661916,"Preparation, Molecular and Electronic Structures, and Magnetic Properties of Face-Sharing Bioctahedral Titanium(III) Compounds: [PPh(4)][Ti(2)(&mgr;-Cl)(3)Cl(4)(PR(3))(2)]."
Q42681393,"Characterization of &omega;-secalin genes from rye, triticale, and a wheat 1BL/1RS translocation line."
Q46055145,"Profile of Tuberculosis among Foreign-born Asians Residing in Los Angeles County, California, 1985&shy;1994."
Q46239496,"Validation of Tethya samaaii Ribeiro &amp; Muricy, 2011, replacement name for the sponge Tethya rubra Samaai &amp; Gibbons, 2005 (Demospongiae, Tethyida, Tethyidae)."
Q46429784,Dinuclear and Hexanuclear Iron(III) Oxide Complexes with a Bis(bipyridine) Ligand: A New [Fe(6)(&mgr;(3)-O)(4)](10+) Core.
Q46441569,"Erratum: GIULIA FURFARO, BERNARD PICTON, ALEXANDER MARTYNOV &amp; PAOLO MARIOTTINI (2016) Diaphorodoris alba Portmann &amp; Sandmeier, 1960 is a valid species: molecular and morphological comparison with D. luteocincta (M. Sars,"
Q48175664,"A Single Medicine for a Disease: Simple Formula of Treasured Mirror of Eastern Medicine, It&apos;s Compilation and Succession."
Q48474300,"In response to: time to re-think the Zurich Guidelines? A critique on the consensus statement on concussion in Sport&colon; the 4th International Conference on Concussion in Sport, held in Zurich, November 2012."
Q52545405,"In response to: time to re-think the Zurich Guidelines? A critique on the consensus statement on concussion in Sport&colon; the 4th International Conference on Concussion in Sport, held in Zurich, November 2012."
Q50104747,Rural&ndash;urban differences in exposure to adverse childhood experiences among South Carolina adults.
Q51617986,Construction of a Coix BAC library and isolation of the 22 kDa &alpha;-coixin gene cluster.
Q54153190,Cooling Effectiveness of South Fa&ccedil;ade Passive Stacks in a Naturally Ventilated Office Building
Q54556267,"JULIANA MOURÃO DOS SANTOS RODRIGUES, FELIPE FERRAZ FIGUEIREDO MOREIRA, ISABELLE DA ROCHA SILVA CORDEIRO, MAGALY DOLSAN DE ALMEIDA &amp; JOSÉ JURBERG (2015) List of the type-specimens of Reduviidae (Hemiptera: Heteroptera) in the Triatomines Collect"
Q54633011,Collagen-induced expression of collagenase-3 by primary chondrocytes is mediated by integrin &alpha;1 and discoidin domain receptor 2: a protein kinase C-dependent pathway.
Q54691268,"DAVID RAMILO, CLAIRE GARROS, BRUNO MATHIEU, CHRISTOPHE BENEDET, XAVIER ALLÈNE, ELISABETE SILVA, GRAÇA ALEXANDRE-PIRES, ISABEL PEREIRA DA FONSECA, SIMON CARPENTER, JANA RÁDROVÁ &amp; JEAN-CLAUDE DELÉCOLLE (2013) Description of Culicoides paradoxa"
Q54670126,"Kozar, F., Gounari, S., Hodgson, C.J., Fetyk, K. &amp; Goras, G. (2012) A new species of Physokermes Targioni Tozzetti (Hemiptera: Coccoidea: Coccidae) from Greece. Zootaxa , 3566, 23–38."
Q54749491,"CELIA K. C. CHURCHILL, EMILY A. ELLIS, ALANNAH E. PIQUE &amp; TODD H. OAKLEY (2014) Two new sympatric species of Eusarsiella (Ostracoda: Myodocopida: Sarsiellidae) from the Florida Keys with a morphological phylogeny of Sarsiellinae. Zootaxa , 3802 ("
Q54800943,"MARCELO PINHEIRO ORSINI, MARIA KÁTIA MATIOTTI DA COSTA, NEUCIR SZINWELSKI, LUCIANO DE PINHO MARTINS, ROBSON CREPES CORRÊA, VITOR FALCHI TIMM &amp; EDISON ZEFA (2017) A new species of Miogryllus Saussure, 1877 and new record of Miogryllus piracicabe"
Q54787696,"New record and distribution extension of the rare Atlantic Forest endemic Abrawayaomys ruschii Cunha &amp; Cruz, 1979 (Rodentia, Sigmodontinae)"
Q54800816,"Unveiling the geographic distribution of Boana pugnax (Schmidt,&nbsp;1857) (Anura, Hylidae) in Venezuela: new state records, range&nbsp;extension, and potential distribution"
Q55877943,"Kim Takes Control: The &quot;Great Purge&quot; in North Korea, 1956-1960"
Q56048362,"&quot;The Foundation of All Future Researches&quot;: Franz Boas, Native American Texts, and the Construction of Modernity"
Q56035629,Characterization of the Microbial Community and Culturable Denitrifying Bacteria in a Solid-phase Denitrification Process Using Poly(&epsilon;-caprolactone) as the Carbon and Energy Source
Q55982415,"Frances Fitzgerald . Way Out There in the Blue: Reagan, Star Wars and the End of the Cold War . New York: Simon &amp; Schuster. 2000. Pp. 592. $30.00"
Q56001316,"Literary Text, Cinematic &quot;Edition&quot;: Adaptation, Textual Authority, and the Filming of Tropic of Cancer"
Q55980162,On the &quot;Simplicity&quot; of Sandra Cisneros's House on Mango Street
Q56082848,&quot;Destructive Force&quot;: Aiko Herzig-Yoshinaga's Gendered Labor in the Japanese American Redress Movement
Q56092132,A Definitive Identification of Tolkien's &quot;Borgil&quot;: An Astronomical and Literary Approach
